Label, PI value, Time [s], OMP Threads, Iteration No.
Serial Execution, 3.141593, 1.732005, 1, 0
Simple Parallel execution, 3.141593, 1.742322, 1, 0
Simple Parallel execution, 3.141593, 2.722502, 2, 0
Simple Parallel execution, 3.141593, 2.012035, 3, 0
Simple Parallel execution, 3.141593, 1.669329, 4, 0
Simple Parallel execution, 3.141593, 1.788827, 5, 0
Simple Parallel execution, 3.141593, 2.021370, 6, 0
Simple Parallel execution, 3.141593, 2.204810, 7, 0
Simple Parallel execution, 3.141593, 2.253091, 8, 0
Simple Parallel execution, 3.141593, 2.272164, 9, 0
Simple Parallel execution, 3.141593, 2.307496, 10, 0
Simple Parallel execution, 3.141593, 2.074119, 11, 0
Simple Parallel execution, 3.141593, 1.882217, 12, 0
Simple Parallel execution, 3.141593, 1.767514, 13, 0
Simple Parallel execution, 3.141593, 1.642446, 14, 0
Simple Parallel execution, 3.141593, 1.514075, 15, 0
Simple Parallel execution, 3.141593, 1.419130, 16, 0
Simple Parallel execution, 3.141593, 1.330762, 17, 0
Simple Parallel execution, 3.141593, 1.246107, 18, 0
Simple Parallel execution, 3.141593, 1.195102, 19, 0
Simple Parallel execution, 3.141593, 1.157895, 20, 0
Simple Parallel execution, 3.141593, 1.085293, 21, 0
Simple Parallel execution, 3.141593, 1.032910, 22, 0
Simple Parallel execution, 3.141593, 0.996846, 23, 0
Simple Parallel execution, 3.141593, 0.945348, 24, 0
Simple Parallel execution, 3.141593, 0.909006, 25, 0
Simple Parallel execution, 3.141593, 0.881339, 26, 0
Simple Parallel execution, 3.141593, 0.847355, 27, 0
Simple Parallel execution, 3.141593, 0.814553, 28, 0
Simple Parallel execution, 3.141593, 0.781077, 29, 0
Simple Parallel execution, 3.141593, 0.759008, 30, 0
Simple Parallel execution, 3.141593, 0.731879, 31, 0
Simple Parallel execution, 3.141593, 0.710631, 32, 0
Simple Parallel execution, 3.141593, 0.686505, 33, 0
Simple Parallel execution, 3.141593, 0.693510, 34, 0
Simple Parallel execution, 3.141593, 0.639739, 35, 0
Simple Parallel execution, 3.141593, 0.629271, 36, 0
Simple Parallel execution, 3.141593, 0.614030, 37, 0
Simple Parallel execution, 3.141593, 0.604368, 38, 0
Simple Parallel execution, 3.141593, 0.583646, 39, 0
Simple Parallel execution, 3.141593, 0.571419, 40, 0
Simple Parallel execution, 3.141593, 0.555047, 41, 0
Simple Parallel execution, 3.141593, 0.544809, 42, 0
Simple Parallel execution, 3.141593, 0.563253, 43, 0
Simple Parallel execution, 3.141593, 0.547156, 44, 0
Simple Parallel execution, 3.141593, 0.530533, 45, 0
Simple Parallel execution, 3.141593, 0.534075, 46, 0
Simple Parallel execution, 3.141593, 0.492312, 47, 0
Simple Parallel execution, 3.141593, 0.486194, 48, 0
Simple Parallel execution, 3.141593, 0.473700, 49, 0
Simple Parallel execution, 3.141593, 0.467730, 50, 0
Simple Parallel execution, 3.141593, 0.462336, 51, 0
Simple Parallel execution, 3.141593, 0.454804, 52, 0
Simple Parallel execution, 3.141593, 0.446760, 53, 0
Simple Parallel execution, 3.141593, 0.437609, 54, 0
Simple Parallel execution, 3.141593, 0.426801, 55, 0
Simple Parallel execution, 3.141593, 0.419904, 56, 0
Simple Parallel execution, -nan, 0.409227, 57, 0
Simple Parallel execution, 3.141593, 0.410432, 58, 0
Simple Parallel execution, 3.141593, 0.407387, 59, 0
Simple Parallel execution, 3.141593, 0.400777, 60, 0
Simple Parallel execution, 3.141593, 0.390517, 61, 0
Simple Parallel execution, 3.141593, 0.384154, 62, 0
Simple Parallel execution, 3.141593, 0.369120, 63, 0
Simple Parallel execution, 3.141593, 0.363413, 64, 0
Simple Parallel execution, 3.141593, 0.359799, 65, 0
Simple Parallel execution, -nan, 0.353899, 66, 0
Simple Parallel execution, -nan, 0.351058, 67, 0
Simple Parallel execution, 3.141593, 0.348281, 68, 0
Simple Parallel execution, 3.141593, 0.338830, 69, 0
Simple Parallel execution, 3.141593, 0.338781, 70, 0
Simple Parallel execution, 3.141593, 0.334502, 71, 0
Simple Parallel execution, 3.141593, 0.326062, 72, 0
Simple Parallel execution, 3.141593, 0.325753, 73, 0
Simple Parallel execution, 3.141593, 0.354639, 74, 0
Simple Parallel execution, 3.141593, 0.322957, 75, 0
Simple Parallel execution, 3.141593, 0.316603, 76, 0
Simple Parallel execution, 3.141593, 0.312461, 77, 0
Simple Parallel execution, 3.141593, 0.309834, 78, 0
Simple Parallel execution, 3.141593, 0.295842, 79, 0
Simple Parallel execution, 3.141593, 0.349568, 80, 0
Simple Parallel execution, 3.141593, 0.369437, 81, 0
Simple Parallel execution, -nan, 0.394552, 82, 0
Simple Parallel execution, -nan, 0.390279, 83, 0
Simple Parallel execution, 3.141593, 0.384315, 84, 0
Simple Parallel execution, 3.141593, 0.381049, 85, 0
Simple Parallel execution, 3.141593, 0.376867, 86, 0
Simple Parallel execution, 3.141593, 0.372836, 87, 0
Simple Parallel execution, 3.141593, 0.370077, 88, 0
Simple Parallel execution, 3.141593, 0.364876, 89, 0
